# Program:featureCounts v1.6.4; Command:"featureCounts" "-T" "16" "-F" "GTF" "-a" "../../GRCh38_GENCODE_rmsk_TE.gtf" "-t" "exon" "-g" "gene_id" "--extraAttributes" "transcript_id,family_id,class_id" "-O" "-M" "--fraction" "--primary" "-s" "0" "-p" "-o" "te_counts.txt" "C1.bam" "C2.bam" "K700E1.bam" "K700E2.bam" 	
Geneid	family_id	class_id	C1.bam	C2.bam	K700E1.bam	K700E2.bam
L1P4	L1	LINE	2044.17	2107.83	3060.75	3075.83
THE1B	ERVL-MaLR	LTR	10917.81	11333.00	15087.30	15120.15
AluYk3	Alu	SINE	687.42	678.92	791.75	764.33
AluSq4	Alu	SINE	1952.33	1852.62	2106.95	2124.42
AmnSINE1	5S-Deu-L2	SINE	2758.08	2831.17	3191.42	3216.67
MER31B	ERV1	LTR	734.58	719.83	1090.25	1089.00
HUERS-P1-int	ERV1	LTR	839.17	828.33	1214.33	1179.25
THE1B-int	ERVL-MaLR	LTR	5951.83	5933.75	8320.17	8366.17
MLT1L	ERVL-MaLR	LTR	8035.75	8293.50	9662.70	9742.00
L1ME4c	L1	LINE	7328.25	7172.78	9218.08	9245.00
L1MD	L1	LINE	5593.98	5486.90	7524.71	7536.05
MSTA	ERVL-MaLR	LTR	13205.50	13137.33	16699.50	16658.61
HAL1ME	L1	LINE	5596.83	5473.33	6938.67	6914.25
L1MB3	L1	LINE	18155.26	18380.13	23218.26	23632.45
Tigger3d	TcMar-Tigger	DNA	590.83	627.00	514.50	533.50
L1M4	L1	LINE	16498.81	16687.40	21753.06	21726.78
AluYd8	Alu	SINE	62.17	69.92	78.17	75.92
MLT1A0	ERVL-MaLR	LTR	9984.08	9940.41	13612.61	13533.08
MER21C	ERVL	LTR	7679.76	7871.33	9698.58	9871.75
MER51A	ERV1	LTR	1030.33	1121.92	1247.92	1220.67
THE1D	ERVL-MaLR	LTR	5849.45	5931.26	8020.45	7974.53
L1M3	L1	LINE	4522.78	4538.53	6550.98	6460.83
MER41B	ERV1	LTR	1605.08	1652.08	2399.37	2375.37
L3b	CR1	LINE	7777.92	7708.42	8379.25	8271.75
MLT1J2	ERVL-MaLR	LTR	2559.58	2487.42	3334.42	3219.50
MLT1K	ERVL-MaLR	LTR	9794.25	9686.00	11998.58	12067.42
MER5C	hAT-Charlie	DNA	743.25	719.75	907.58	941.92
MER5B	hAT-Charlie	DNA	14925.83	15154.33	17114.16	17042.65
Arthur1	hAT-Tip100	DNA	577.17	555.67	864.87	870.75
L1PA7	L1	LINE	20223.42	20608.45	29529.75	29388.17
Tigger4b	TcMar-Tigger	DNA	3004.75	2932.90	3797.83	3882.70
LTR16A1	ERVL	LTR	1836.17	1760.00	2285.17	2175.83
Charlie1b	hAT-Charlie	DNA	2081.42	2127.17	2695.67	2751.25
MamRep434	TcMar-Tigger	DNA	1529.00	1619.67	1804.08	1866.92
AluYb8	Alu	SINE	981.42	945.23	1140.08	1123.32
Tigger15a	TcMar-Tigger	DNA	4704.25	4627.87	5773.25	5837.28
MIR1_Amn	MIR	SINE	13300.92	13080.83	12673.58	12449.83
X7C_LINE	CR1	LINE	510.67	425.67	536.00	569.17
Tigger5	TcMar-Tigger	DNA	1321.92	1368.20	1499.00	1440.95
LTR10C	ERV1	LTR	1011.58	976.33	1128.53	1131.20
MLT1H	ERVL-MaLR	LTR	4976.58	5287.33	6260.58	6237.17
AluYk11	Alu	SINE	400.37	422.83	575.85	603.35
